N 136 
0 1 0
0 2 0
0 3 0
0 4 0
0 5 0
0 6 0
0 7 0
0 8 0
0 9 0
1 52 0
2 18 0
3 19 0
4 54 0
5 20 0
6 21 0
7 57 0
8 23 0
9 24 0
10 28 0
11 62 0
12 63 0
13 29 0
14 30 0
15 31 0
16 31 0
17 32 0
18 53 0
19 90 0
20 55 0
21 22 0
22 93 0
23 58 0
24 25 0
25 26 0
26 27 0
28 61 0
29 64 0
30 101 0
31 66 0
32 33 0
33 94 0
34 35 0
34 36 0
34 37 0
34 38 0
34 39 0
34 40 0
34 41 0
34 42 0
34 43 0
36 52 0
37 53 0
39 54 0
40 55 0
42 57 0
43 58 0
44 62 0
47 63 0
48 64 0
49 65 0
50 65 0
51 66 0
53 124 0
55 56 0
56 127 0
58 59 0
59 60 0
60 61 0
64 135 0
66 67 0
67 128 0
68 69 0
68 70 0
68 71 0
68 72 0
68 73 0
68 74 0
68 75 0
68 76 0
68 77 0
69 120 0
70 86 0
71 87 0
72 122 0
73 88 0
74 89 0
75 125 0
76 91 0
77 92 0
78 96 0
79 130 0
80 131 0
81 97 0
82 98 0
83 99 0
84 99 0
85 100 0
86 121 0
88 123 0
89 90 0
91 126 0
92 93 0
93 94 0
94 95 0
96 129 0
97 132 0
99 134 0
100 101 0
102 103 0
102 104 0
102 105 0
102 106 0
102 107 0
102 108 0
102 109 0
102 110 0
102 111 0
104 120 0
105 121 0
107 122 0
108 123 0
110 125 0
111 126 0
112 130 0
115 131 0
116 132 0
117 133 0
118 133 0
119 134 0
123 124 0
126 127 0
127 128 0
128 129 0
132 135 1
133 134 1
134 135 0
-1 -1
